PaperId,ClusterID
0a9a85b82e17c880c923b5de9bec22931ed76f13,2
0ad7e174f73e58184845bd1291c97fe2d2da2195,2
00a172302a68e534862468c0d37c4991dc16f57b,
0c00df588d13adde6e7948121c25f71bb0a7d407,2
0ad06d39f69caad2cb9feb96d0015bf7e377db90,
00ac0ed6be59b281c8f58c3d34387a424f5c6da1,
0aed5fd4cefd2f1cd61665c2198ed1292e9e510b,
0b30e970d817fdc264c7e6f61eda62e29775e650,2
0b01acf14884ba1e94bd086d3acac544bfb1bdc4,5
0a1533470817bc5ef0d0d0af56386a96b505dc0d,2
0af3e5705f28a81f9dfc8ab6d95b486b151486fd,
0afe01a41524530aa68a82e51d4ddd0c1a5a0de9,
0b62718edd436fc4a28845728d19b4fa820825a6,
0ab9753b9860f6b8c433f07e1bf96c98f452ecb1,1
0aff00101d5ccc6592987185ab833f95d842f98b,2
0a76f40f5ae91395a09ca16c42949b8ee9525ead,2
0bf4618d8aea8295bb7d4fbfa9dc33c54971b3db,
0aa98e80546e920ee739d0f7145031080a6af8f0,2
0bf797486162cdde8d9b318bbc90c47bf0844ded,2
00ae0041374cbbf28df0d2cbeb08c1396a4f7878,2
0b4cd5bc868e1d858b9beaf9d4109a481df31a8e,
0acbde5c3e5d4f964215218392e5fe30231920e9,0
0a6ec52257d9a88992564d9c0c83f1bfcf54acc9,
0a19aacc124c9c42d66d481a9d0c837a76a252e6,
0b8f941a2f75de61f6d0a4edcaa3d65eb67670d1,0
0ba56d8d00d9a7761ca1110f0ee1ba330cef767b,2
0a05c27948e6437ede5bf64c8dea7ad9efcf21fb,0
0ac675fdff45bfddf5aea34d37f58ad7df4f78b9,2
0b5f8aa815f121c29d72e06b6fa8f1e1f7baa64c,
0aa722f09c872856c8bc2097e8e56107c8119c72,2
0a48e1c838c6f8eb7cee5c726b1e266161f87ded,
00e490bccc20b370f5d9334b722ef405d53c5eda,2
0b3f9906e4c427bb4e1271e5d4d70e1b91e0c36b,
0a64b2c55fc2091358da4f83ac6fdc7701ddb46e,2
00fd39b9167d20b07ae353e49b46c78be7193677,2
0a4502d33aeec22eeb1cff84518e355f179c9c45,
0a2746334395941b7b6eb04562e451a287e3fc50,
00c19aff3efc6e6430f77d81580ac927990ad5a2,5
0b5766df080c50aa5aa947e28e17af647c6700e8,
0adc0c7498f0ebbb3c8f1c662da34605d5f91fe2,
0aeb0a6ffcaef75d29f0926daa4e07b2d1750b02,
00f72ff0dc58a60ef31950d0f28c33dfaf1bf2eb,2
0b361c9edd70e52d3ef668682f0b874e313166d6,1
0babc8288cb5191ee7a1bf37511b415add1cc682,
0be7b06a39aa31b27514a501ebdd477f42b0919a,0
0be19bfb83d9eb0a6b6f1c7ce8b75a58d8b1ed6f,2
0aa4114678465ab2f8da307ef409db92ad4849c7,2
0b9541cb33bfaf15aa3838839a39ef78a11d8658,3
00f75a333fb418ab880629ba8b62ab6f490b34ec,2
0bc315d2fd406be6d572c343f3ec3bbc54686f8b,2
0a41b85153ef8a084f7b3476d4d38832f533e914,2
0ba75e5c8913e663362d63eece9349c21007031c,5
0c1e353ff79d0120e3e224bac9dde7f6ef74d440,5
0a29d54d90d636472416f889c10f12062425bc76,2
0a976f770192ed0442e193e9abcbd3c12da95ece,2
0b7076698224d07cc053c470edb5331625d33af9,2
0a9183d60c2a9c9c817c8d82da77ec868ba13ab1,2
0b7c1981b898008aa88d47c756726c09797bf721,3
0bda57a5160fbfa435ac572072635149687f5e78,2
0b8d789e2116efa9e813dd4763020174f3f26968,
0ad93a12dda6aba8b62f2108fa4dd0b25c1337ea,0
0afa77b04b4ba08978370c3bb823440d0a509622,2
0a11a62372ae38f658c542b42a727f44f85e150e,
0a4df0b92940218a7fc69cb46ba22c8f83a5bb9f,2
0c0e91904a6c84a7ee80cc69fe83370aaa3ca708,2
0a88cdb3ff4361f46bd1651e7101834f8bb2d609,2
0bf39c12d7c4576441079e2e758ec1eacfe015d1,2
0a094d28ffd685164050dbad0e1426abc73a4e18,2
00bcb473981508327f658d20a01547e6f1245310,
0ae02f293c03e3e1a2d4582e62c22f2c0c291f48,2
0bed614165ea5e8b2665c8914882923858293b1f,
